,timestamp,exchange eth
250,1612294588,3746886.7200311664
251,1612371509,3809244.2459722827
252,1612447962,3774005.391267361
253,1612525169,3750496.039847838
254,1612601223,3784295.1425977163
255,1612677295,3706264.8196760328
256,1612753604,3654807.581439263
257,1612830774,3678854.8321930235
258,1612907419,3647764.7824572735
259,1612983972,3640400.6963707507
260,1613060762,3639178.6592452643
261,1613136798,3572108.337089724
262,1613213428,3553142.3582810597
263,1613289726,3638458.9605280072
264,1613366310,3605365.4245958044
265,1613443057,3627899.791159199
266,1613519408,3639636.084109906
267,1613595160,3666329.735487676
268,1613672549,3728399.445694145
269,1613748457,3774337.832883673
270,1613825852,3799442.867019096
271,1613902750,3653516.775640165
272,1613978401,3591575.076441964
273,1614055602,3674588.9547072602
274,1614131323,3465222.4036038714
275,1614208510,3360817.8760727616
276,1614284885,3312485.259053658
277,1614361002,3351412.689856691
278,1614437909,3316215.047000123
279,1614515045,3272820.0084592346
280,1614591046,3246673.060238967
281,1614667796,3407517.693928232
282,1614744564,3495752.2169131106
283,1614821238,3507912.5358101223
284,1614897708,3512920.360887888
285,1614973713,3463717.720314251
286,1615049574,3595465.4478983204
287,1615126611,3567574.6585684605
288,1615203314,3562600.4175154115
289,1615280222,3542446.428274739
290,1615357135,3535033.2052611583
291,1615433883,3516583.29764021
292,1615511247,3501311.843292868
293,1615588322,3423769.8769483045
294,1615664454,3436790.953647925
295,1615741648,3417691.637511701
296,1615818094,3378401.0456156028
297,1615895356,3403538.3298233724
298,1615970996,3501655.906223066
299,1616048303,3535694.4073408493
300,1616124220,3505971.6982803713
301,1616200764,3499632.3867758056
302,1616277348,3525996.1463514273
303,1616354257,3537398.0122505524
304,1616431230,3515797.72748277
305,1616507492,3513498.0019916333
306,1616585385,3502211.8464903464
307,1616660988,3447086.1565973167
308,1616737462,3460649.245106692
309,1616813604,3473987.726645116
310,1616890347,3483312.3273596806
311,1616967098,3526718.3188856994
312,1617043592,3490228.3792621377
313,1617121171,3458043.994889816
314,1617197039,3414424.752283149
315,1617273544,3367577.2140288916
316,1617350338,3337247.5781602147
317,1617426604,3723565.5923321876
318,1617503034,3642009.7017177073
319,1617579185,3662447.5805969834
320,1617656039,3644580.3041851413
321,1617732207,3510356.26417034
322,1617808975,3508968.8372600214
323,1617885970,3502041.3822093303
324,1617962263,3568969.9874634887
325,1618038839,3710661.5216910844
326,1618114993,3731020.231199155
327,1618190748,3764452.510788524
328,1618266820,3723447.1242680224
329,1618344010,3716277.6043050135
330,1618421065,3746428.642332597
331,1618498240,3749811.4212861643
332,1618575345,3317120.8795798165
333,1618651938,3266491.7046896783
334,1618728369,3325379.441052454
335,1618805930,3363939.32795808
336,1618883019,3404720.993342253
337,1618958578,3397287.898171788
338,1619035388,3458667.356469413
339,1619112363,3521528.259989
340,1619189885,3625670.773574318
341,1619266746,3650677.610311355
342,1619342838,3682682.036854808
343,1619419805,3702161.2941037943
344,1619496757,3646270.448326342
345,1619573184,3670297.3304157904
346,1619649913,3670295.9264278677
347,1619726835,3700410.651453291
348,1619804321,3699970.0085975425
349,1619881217,3731168.826545686
350,1619957840,3820227.652239571
351,1620035283,3822733.6865036585
352,1620110713,3839519.9270881675
353,1620187815,3860478.75318891
354,1620264558,3872651.785316397
355,1620340917,3893078.736042801
356,1620418438,3873348.804065158
357,1620495387,3860446.635286977
358,1620572233,3967101.4405751606
359,1620649318,4009890.838299493
360,1620725248,3883502.3017709083
361,1620802157,3910060.5543390852
362,1620879913,3906659.975149456
363,1620955718,3912542.9317665277
364,1621032903,3933492.0997281186
365,1621109810,3838241.8436964494
366,1621186935,3831074.906501001
367,1621264443,3819983.169070023
368,1621341230,3812443.0847197934
369,1621418944,3803875.426024238
370,1621495742,3947470.21490467
371,1621572909,3807471.364730688
372,1621650120,3713442.95864807
373,1621727406,3639350.7122204397
374,1621804947,3786123.0410023755
375,1621881913,3783497.0599911455
376,1621958721,3883179.019729193
377,1622036155,3838033.6089423094
378,1622113305,4089157.193183542
379,1622190639,4043847.1843263963
380,1622268254,4024838.2256602426
381,1622344986,4047418.756912444
382,1622422453,4158610.4899751847
383,1622499873,4119211.166364901
384,1622576741,4124425.7690552
385,1622653427,4141205.251236504
386,1622730712,4070486.826519788
387,1622808172,4052490.8201884204
388,1622884371,4023915.438097724
389,1622961816,3968121.774476418
390,1623038098,3969390.9405215685
391,1623115183,3904844.2956155348
392,1623192337,3852162.6303357542
393,1623269643,3937055.6402897476
394,1623346561,3955832.2243620357
395,1623423584,3930137.4985979907
396,1623501589,3972344.561027769
397,1623578291,3980429.7984727332
